종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
950130,엑세스바이오,KOSDAQ,외국기업(소속부없음),7800,120,1.56,7650,7850,7630,74214,577236660,283653606600,36365847
205100,엑셈,KOSDAQ,벤처기업부,2375,10,0.42,2360,2390,2330,498425,1175502385,170913148625,71963431
356680,엑스게이트,KOSDAQ,벤처기업부,5930,-150,-2.47,6050,6100,5920,285924,1716847940,169262907560,28543492
070300,엑스큐어,KOSDAQ,벤처기업부,2740,-15,-0.54,2755,2775,2665,22754,61724075,20183042760,7366074
317770,엑스페릭스,KOSDAQ,벤처기업부,5570,-130,-2.28,5550,5620,5430,326016,1804237820,126893545420,22781606
092870,엑시콘,KOSDAQ,우량기업부,23550,600,2.61,21800,23800,21200,1710669,38443174250,255489169350,10848797
317870,엔바이오니아,KOSDAQ,기술성장기업부,18400,-350,-1.87,18750,18880,17850,42111,775362680,156524200000,8506750
067570,엔브이에이치코리아,KOSDAQ,중견기업부,2505,-10,-0.4,2525,2545,2480,59081,147828590,105635850000,42170000
236810,엔비티,KOSDAQ,기술성장기업부,7180,260,3.76,6850,7250,6720,307197,2180355430,121883558680,16975426
140610,엔솔바이오사이언스,KONEX,일반기업부,3340,-135,-3.88,3540,3540,3240,14940,49752770,36164898760,10827814
333620,엔시스,KOSDAQ,벤처기업부,9290,-280,-2.93,9570,9570,9200,30716,286319130,98068435760,10556344
101400,엔시트론,KOSDAQ,중견기업부,604,-3,-0.49,607,608,599,207136,124770426,35748479296,59186224
036570,엔씨소프트,KOSPI,,197000,8700,4.62,188300,198800,187100,139475,27124898300,4324942334000,21954022
238170,엔에스엠,KONEX,일반기업부,425,7,1.67,444,444,399,206,87513,8829240700,20774684
224760,엔에스컴퍼니,KONEX,일반기업부,4230,375,9.73,3285,4360,3280,865,2842050,16664931000,3939700
391060,엔에이치스팩20호,KOSDAQ,SPAC(소속부없음),10200,0,0.0,10190,10200,10190,25141,256239040,52020000000,5100000
422040,엔에이치스팩23호,KOSDAQ,SPAC(소속부없음),2160,0,0.0,2160,2165,2140,55955,120305800,15465600000,7160000
437780,엔에이치스팩24호,KOSDAQ,SPAC(소속부없음),2165,5,0.23,2160,2165,2135,18271,39312990,10889950000,5030000
438580,엔에이치스팩25호,KOSDAQ,SPAC(소속부없음),2460,0,0.0,0,0,0,0,0,7429200000,3020000
439410,엔에이치스팩26호,KOSDAQ,SPAC(소속부없음),2050,-5,-0.24,2055,2070,2050,17072,35114665,18040000000,8800000
440820,엔에이치스팩27호,KOSDAQ,SPAC(소속부없음),2065,-10,-0.48,2075,2075,2065,9078,18791740,16107000000,7800000
451700,엔에이치스팩29호,KOSDAQ,SPAC(소속부없음),2020,5,0.25,2015,2020,2010,15871,32008080,28987000000,14350000
